,Term,Interbank,Sov,LBPratespread,USDratespread,CDratespread,LBPdeprate,USDdeprate,EMP,Financialdoll,CA,FA,Rem,FApc,CApc,CAratio,rempc,Oil,Tadawol,gdp,gdp3,gdp6,gdp12,dep_sov_spread,M2resratio,portinflow,portoutflow,passenger inflow,passenger outflow,Construction permits ,Cement deliveries,portinflowpc,portoutflowpc,passengerinflowpc,passengeroutflowpc,Constructionpermitspc,Cementdeliveriespc,Dummy_variable2006
2005-12-31,3.46,3.75,4.279999999999999,2.419999999999999,4.290000000000001,-3.3,7.7,4.09,-0.8052434594235932,0.7312618746020527,-111.23,1661.1,414.67,-13.503575461046292,-0.632491905108042,1.0623668333819274,-0.19842650583777932,0.43014851685884636,1.0782308681061603,0.05142857142857138,0.12650602409638556,0.0971428571428572,-0.03260869565217395,-2.4800000000000004,2484.9669883189435,344515.43146453676,50243.16573025325,129274.61606264772,138520.09370754595,773920.415968448,312539.049950936,0.13704494680589296,-0.1999674558620128,0.07989872215848415,0.1775543102786521,0.07439641421770449,0.22566231912640178,0
2006-01-31,3.46,3.75,4.279999999999999,2.5100000000000007,4.2700000000000005,-3.2199999999999998,7.62,4.13,0.24994089978930442,0.7251524766728235,48.62,-338.07,416.64,-0.3811302103355484,-0.6366489798968686,0.970058810850756,0.33260834799296335,0.43321243741651916,1.210149330468397,0.011494252873563315,0.125,-0.18965517241379315,0.011363636363636465,-2.4000000000000004,2559.707969151671,321813.94352225395,70922.76890477877,183032.41130577377,159961.90832934625,771080.8621490037,272468.29300649156,-0.3026241546870131,-0.08973929263636493,0.05043559989878177,0.027298777055723367,-0.08247243704578544,0.13505142878768361,0
2006-02-28,3.46,3.5,4.01,2.6900000000000004,4.28,-3.2399999999999993,7.64,4.12,-0.3162812542963614,0.7230418773812836,-215.22,579.0,351.58,1.534249573248129,-0.45773388092418554,1.1432870200853478,-0.031139770723104143,0.3299249797685966,1.2905389524601283,0.12422360248447206,0.12790697674418605,-0.3296089385474861,-0.027624309392265234,-2.42,2554.5043037974683,335232.3117375625,51065.3725567322,129199.0960010276,135295.15781149236,875489.7892323369,320422.84508982487,0.252626021877693,-0.20748424106993968,0.14838114410333847,0.03649481436945745,0.32917052954648773,0.63119978099142,0
2006-03-31,3.46,4.5,3.9499999999999993,2.54,4.19,-3.2399999999999993,7.64,4.2,0.012459079283167088,0.7255108832293402,-397.2,1152.0,377.42,-1.9947585206421028,-0.33934333521838933,1.2247305440040737,-0.04732816720094912,0.17880859614300726,0.6970271646241748,0.12650602409638556,0.0971428571428572,-0.1179775280898876,-0.005347593582887722,-2.42,2573.880838990779,276091.14228455094,63370.48757591511,130175.46590732406,131114.16746972923,1112771.9680517814,357045.80342315824,0.005269912062944249,0.16396100904752253,0.2507744911306422,0.20696653929450193,0.3997325909801823,0.5709387995237023,0
2006-04-30,3.46,3.5,3.79,2.8000000000000007,4.13,-3.1799999999999997,7.58,4.28,-1.6601427522056742,0.7261104447159967,-166.4,-502.53,399.7,1.4975398837035931,-7.153846153846154,1.0913879277201075,0.21919228892142506,0.3371534095538118,0.30555417742998614,0.125,-0.18965517241379315,-0.017964071856287456,-0.015873015873015928,-2.3600000000000003,2400.0581177352833,344364.0896777956,79125.50908972762,161509.2045658793,155999.2743199498,836953.6052045592,289516.1940481582,0.023855615366763505,0.13727939574406278,0.5899227222407326,0.4377807378953562,0.44727644075473383,0.20553792390641212,0
2006-05-31,3.46,3.5,3.71,2.6400000000000006,3.9899999999999993,-3.17,7.57,4.37,-0.00961078364589248,0.7272078555368936,-109.99,686.05,380.6,1.2432397083346958,-0.020744301994301995,1.0537601298180785,0.06886093012806116,0.4306452207916789,-0.06348352128973611,0.12790697674418605,-0.3296089385474861,0.04022988505747116,-0.0670103092783505,-2.3500000000000005,2421.7801930104,306188.5832001299,67736.25664300004,156987.28454580216,153783.5505550972,1127767.912496226,338824.36939538043,0.13836101798232248,0.05521535306182246,0.21265585385336716,0.3019192545256364,0.3473335472541792,0.3535791392094798,0
2006-06-30,3.46,3.5,3.5599999999999996,2.6800000000000006,4.06,-3.1599999999999993,7.56,4.39,-0.6666759197458703,0.7275711027888421,187.41,987.47,411.48,0.28361216186353655,-1.5801987554564874,0.9143984689379857,0.21736043312328057,0.26247036785305844,-0.06278424374162883,0.0971428571428572,-0.1179775280898876,-0.03260869565217395,-0.109375,-2.34,2379.627949183303,352768.0935431733,70168.18080518128,174012.11022926227,153919.28967312473,903596.5392323369,333941.0829370471,0.27847506767451136,0.1877010661770897,0.21544761050033667,0.2066177084977392,0.3787104447217571,0.2743990461007695,0
2006-07-31,3.46,4.5,3.5599999999999996,2.9800000000000004,4.12,-3.0299999999999994,7.43,4.53,0.850367020871557,0.7480227471754384,-153.13,-929.49,398.54,-2.2321407266991002,-4.340532286212914,1.0837343336468428,0.16620822847779015,0.2848596030211381,-0.07580317770196854,-0.18965517241379315,-0.017964071856287456,0.011363636363636465,0.23404255319148937,-2.21,2270.412761526082,395212.62354999065,73549.8689613919,68450.67637556128,53672.34473726833,408399.97295818233,158234.698803593,0.4600492955375943,0.2990871542119331,-0.5217086295932546,-0.5981778196669809,-0.4628181954103381,-0.391577466189338,0
2006-08-31,3.46,3.5,3.7799999999999994,2.5300000000000002,3.9000000000000004,-3.0599999999999996,7.46,4.58,-0.5920854147494716,0.7513590325075393,60.81,952.65,313.71,6.391759776536313,-1.2096390526424656,0.9580290711317864,-0.06556058620278815,0.14933440300232514,-0.20847376363884418,-0.3296089385474861,0.04022988505747116,-0.027624309392265234,0.4750000000000001,-2.24,2142.5211630474787,196261.7638388017,20062.65787817324,16469.281768170258,9769.386330644065,454471.507982337,156065.6784231582,-0.3885786965481711,-0.6691728078165107,-0.8892037190661395,-0.9349985649137353,-0.4750178859836548,-0.5374580193001741,1
2006-09-30,3.46,3.5,3.91,2.8100000000000005,3.9799999999999995,-3.0299999999999994,7.43,4.61,-0.5773558892147178,0.7476739226202769,-72.47,1041.55,321.54,0.03355032051918139,-0.8091186851393353,1.0419154056180295,-0.05197983312203314,-0.011606148476993261,-0.23544017823466934,-0.1179775280898876,-0.03260869565217395,-0.005347593582887722,0.10828025477707004,-2.21,2146.7415428673708,300616.9363502723,34276.11278091532,110040.0593580257,70800.68610174785,475587.398607337,340236.6541176027,-0.08415542206412763,-0.4952078481191333,-0.179071671766582,-0.5389570477918935,-0.44497355224202106,0.14435402474628556,0
